CoDHex,CoDBinary,DeviceType,DeviceExample,Confirmed,ConfirmedExample,MajorDeviceClass,ClassOfDevice
0x000000,0,none,Dell Wireless 370 Bluetooth Mini-card,Yes,00:16:44 - LITE-ON Technology Co,Uncategorized,0
0x000020,100000,Unknown,TC1920 32-Bit Single-Chip Microcontroller,Yes,00:03:19 - Infineon AG,Uncategorized,32
0x000104,100000100,Desktop Workstation,Desktop PC,Yes,"00:25:56 - Hon Hai Precision Ind. Co., Ltd.",Computer,260
0x00010c,100001100,Laptop,Laptop,Yes,"00:03:7A - Taiyo Yuden Co., Ltd",Computer,268
0x000116,100010110,Palm sized PC/PDA,Gumstix Overo Air single-board,Yes,00:80:37 - Ericsson Group,Computer,278
0x000204,1000000100,Cellular,Samsung SGH-T259,Yes,"38:16:D1 - Samsung Electronics Co.,Ltd",Phone,516
0x000208,1000001000,Cordless,Bluetooth Car Kit,Yes,"00:1C:12 - Motorola Mobility, Inc.",Phone,520
0x000408,10000001000,Hands-free Device,Bluetooth Car Kit,Yes,"00:1C:12 - Motorola Mobility, Inc.",Audio/Video,1032
0x00041c,10000011100,Portable Audio,iPad 3,Yes,"4C:B1:99 - Apple, Inc.",Audio/Video,1052
0x000424,10000100100,Set-top Box,Roku,Yes,"CC:6D:A0 - Roku, Inc.",Audio/Video,1060
0x00043c,10000111100,Video Display,"Samsung 32"" LE32D550",Yes,"60:6B:BD - Samsung Electronics Co., LTD",Audio/Video,1084
0x000508,1010000100,Joystick,Nintendo Wii Remote PLus,Yes,"58:BD:A3 - Nintendo Co., Ltd.",Peripheral,1288
0x000540,10101000000,Keyboard,Gametel Portable Game Controller,Yes,"88:94:F9 - Gemicom Technology, Inc.",Peripheral,1344
0x000584,10110000100,Joystick,Zeemote JS1,Yes,00:1C:4D - Zeemote Technology Inc. (part of Aplix).,Peripheral,1412
0x000704,11100000100,Wrist Watch,Unknown,Yes,00:06:66 - Roving Networks,Wearable,1796
0x000908,100100001000,Thermometer,Unknown Wearable Bluetooth Headset,Yes,00:15:B4 - Polymap Wireless LLC,Health,2312
0x001101,1000100000001,none,Possible SMA Solar Panel Controller,Yes,00:80:25 - STOLLMANN GMBH,Uncategorized,4353
0x001f00,1111100000000,none,OBDII,Yes,"00:19:5D ShenZhen XinHuaTong Opto Electronics Co.,Ltd",Uncategorized,7936
0x001f1f,1111100011111,Unknown,unknown,Yes,"00:19:5D - ShenZhen XinHuaTong Opto Electronics Co.,Ltd",Uncategorized,7967
0x0020fc,10000011111100,Unknown,Sony Ericsson LiveView Phone Remote w/Micro Display,Yes,B8:F9:34 - Sony Ericsson Mobile Communications AB,Uncategorized,8444
0x00250c,10010100001100,Remote Control,PS3 BD Remote Control,Yes,"00:06:F5 - ALPS Co,. Ltd.",Peripheral,9484
0x002540,10010101000000,Keyboard,IOGear Keyboard,Yes,00:18:A3 - StarBoard FX - Murata Manufacturing,Peripheral,9536
0x002580,10010110000000,Pointing Device,Apple Magic Mouse,Yes,"60:FB:42 - Apple, Inc",Peripheral,9600
0x002594,10010110010100,Digitizer Tablet,Apple Magic Trackpad,Yes,"60:C5:47 - Apple, Inc.",Peripheral,9620
0x01020c,10000001000001100,Smart phone,iPhone,Yes,54:26:96 - Apple,Phone,66060
0x010500,10000010100000000,Smart phone,Unknown Device,Yes,"00:A0:96 - MITSUMI ELECTRIC CO., LTD.",Peripheral,66816
0x011f00,10001111100000000,none,Unknown,Yes,"00:03:7A - Taiyo Yuden Co., Ltd",Uncategorized,73472
0x020000,100000000000000000,Desktop Workstation,Windows Desktop Computer,Yes,"74:F0:6D - AzureWave Technologies, Inc.",Uncategorized,131072
0x020104,100000000100000000,Desktop Workstation,Desktop PC,Yes,00:21:86 - USI,Computer,131332
0x02010c,100000000100001000,Laptop,Laptop,Yes,E0:AE:5E - Cambridge Silicon Radio (10),Computer,131340
0x020110,100000000100010000,Handheld PC/PDA,Microsoft PDA Computer,Yes,60:45:BD - Microsoft,Computer,131344
0x020300,100000001100000000,Fully available,"JCMED4 (Possible Jefferson County, KY Ambulance)",Yes,00:21:3E - Tomtom,LAN / Network Access Point,131840
0x022100,100010000100000000,Uncategorized,Unknown,Yes,00:80:98 - TDK CORPORATION,Computer,139520
0x040600,1000000011000000000,Uncategorized,", defaultN465",Yes,00:12:F35 - connectBlue AB,Imaging,263680
0x040640,1000000011001000000,Scanner,VoyagerBT Scanner,Yes,00:0C:A7 - Metro (Suzhou) Techno,Imaging,263744
0x040680,1000000011010000000,Printer,Bluetooth Combo Printer Adapter,Yes,00:02:72 - CC&C Technologies,Imaging,263808
0x060104,1100000000100000000,Desktop Workstation,iBuyPower Windows 7 Desktop,Yes,00:02:72 - CC&C Technologies,Computer,393476
0x06010c,1100000000100000000,Laptop,Unknown Desktop,Yes,"5C:AC:4C - Hon Hai Precision Ind. Co.,Ltd.",Computer,393484
0x080208,10000000001000000000,Cordless,Kyocera KWC-M2000,Yes,00:1F:BD - Kyocera Wireless Corp.,Phone,524808
0x08043c,10000000010000100000,Video Display,"Samsung UE32D5520 32"" LCD TV",Yes,"E4:E0:C5 - Samsung Electronics Co., LTD",Audio/Video,525372
0x080500,10000000010100000000,Uncategorized,deviceStarBoard FX,Yes,00:0E:6D - Murata Manufacturing,Peripheral,525568
0x080618,10000000011000000000,Display,Zebra MZ320 Printer,Yes,"00:22:58 - Taiyo Yuden Co., Ltd.",Imaging,525848
0x0a0110,10100000000100000000,Handheld PC/PDA,Blackberry PlayBook,Yes,14:74:11 - Rim,Computer,655632
0x0a041c,10100000010000000000,Portable Audio,iPod,Yes,"00:26:4A - Apple, Inc.",Audio/Video,656412
0x0c010c,11000000000100000000,Laptop,Laptop,Yes,"00:03:7A - Taiyo Yuden Co., Ltd",Computer,786700
0x0c010f,11000000000100000000,Laptop,Laptop,Yes,"00:22:58 - Taiyo Yuden Co., Ltd.",Computer,786703
0x100000,100000000000000000000,none,Unknown,Yes,00:24:01 - D-Link Corporation,Uncategorized,1048576
0x10010c,100000000000100000000,Laptop,Laptop,Yes,"00:22:58 - Taiyo Yuden Co., Ltd.",Computer,1048844
